dns_server,url,resolution_time_ms
192.168.178.1,youtube.com,2.07
192.168.178.1,amazon.com,2.07
192.168.178.1,wikipedia.org,1.99
8.8.8.8,google.com,10.14
8.8.8.8,facebook.com,35.87
8.8.8.8,youtube.com,10.01
8.8.8.8,amazon.com,9.23
8.8.8.8,wikipedia.org,11.02
1.1.1.1,google.com,10.46
1.1.1.1,facebook.com,10.02
1.1.1.1,youtube.com,10.13
1.1.1.1,amazon.com,10.18
1.1.1.1,wikipedia.org,9.71
9.9.9.9,google.com,9.27
9.9.9.9,facebook.com,10.08
9.9.9.9,youtube.com,9.53
9.9.9.9,amazon.com,9.93
9.9.9.9,wikipedia.org,9.82
208.67.222.222,google.com,17.75
208.67.222.222,facebook.com,9.35
208.67.222.222,youtube.com,9.27
208.67.222.222,amazon.com,9.9
208.67.222.222,wikipedia.org,16.61
192.168.178.1,google.com,2.21
192.168.178.1,facebook.com,1.69
192.168.178.1,youtube.com,1.76
192.168.178.1,amazon.com,2.07
192.168.178.1,wikipedia.org,2.31
8.8.8.8,google.com,11.48
8.8.8.8,facebook.com,13.05
8.8.8.8,youtube.com,10.45
8.8.8.8,amazon.com,9.51
8.8.8.8,wikipedia.org,9.66
1.1.1.1,google.com,10.11
1.1.1.1,facebook.com,10.56
1.1.1.1,youtube.com,12.03
1.1.1.1,amazon.com,10.03
1.1.1.1,wikipedia.org,10.08
9.9.9.9,google.com,10.03
9.9.9.9,facebook.com,14.51
9.9.9.9,youtube.com,164.37
9.9.9.9,amazon.com,38.1
9.9.9.9,wikipedia.org,15.61
208.67.222.222,google.com,21.9
208.67.222.222,facebook.com,10.87
208.67.222.222,youtube.com,18.22
208.67.222.222,amazon.com,9.93
208.67.222.222,wikipedia.org,9.56
192.168.178.1,google.com,2.12
192.168.178.1,facebook.com,9.98
192.168.178.1,youtube.com,9.98
192.168.178.1,amazon.com,1.86
192.168.178.1,wikipedia.org,1.94
8.8.8.8,google.com,10.09
8.8.8.8,facebook.com,12.06
8.8.8.8,youtube.com,10.13
8.8.8.8,amazon.com,9.58
8.8.8.8,wikipedia.org,9.95
1.1.1.1,google.com,9.61
1.1.1.1,facebook.com,9.97
1.1.1.1,youtube.com,10.11
1.1.1.1,amazon.com,10.3
1.1.1.1,wikipedia.org,10.53
9.9.9.9,google.com,9.6
9.9.9.9,facebook.com,9.75
9.9.9.9,youtube.com,9.89
9.9.9.9,amazon.com,13.09
9.9.9.9,wikipedia.org,9.83
208.67.222.222,google.com,16.94
208.67.222.222,facebook.com,9.58
208.67.222.222,youtube.com,9.38
208.67.222.222,amazon.com,9.83
208.67.222.222,wikipedia.org,9.55
192.168.178.1,google.com,1.91
192.168.178.1,facebook.com,1.79
192.168.178.1,youtube.com,1.89
192.168.178.1,amazon.com,1.79
192.168.178.1,wikipedia.org,1.85
8.8.8.8,google.com,9.91
8.8.8.8,facebook.com,19.0
8.8.8.8,youtube.com,10.0
8.8.8.8,amazon.com,9.6
8.8.8.8,wikipedia.org,10.66
1.1.1.1,google.com,10.34
1.1.1.1,facebook.com,10.09
1.1.1.1,youtube.com,10.51
1.1.1.1,amazon.com,11.19
1.1.1.1,wikipedia.org,9.83
9.9.9.9,google.com,9.57
9.9.9.9,facebook.com,9.51
9.9.9.9,youtube.com,9.9
9.9.9.9,amazon.com,10.01
9.9.9.9,wikipedia.org,424.05
208.67.222.222,google.com,11.26
208.67.222.222,facebook.com,9.78
208.67.222.222,youtube.com,10.35
208.67.222.222,amazon.com,9.91
208.67.222.222,wikipedia.org,16.94
192.168.178.1,google.com,1.98
192.168.178.1,facebook.com,1.91
192.168.178.1,youtube.com,1.86
192.168.178.1,amazon.com,1.88
192.168.178.1,wikipedia.org,1.76
8.8.8.8,google.com,9.99
8.8.8.8,facebook.com,37.24
8.8.8.8,youtube.com,12.18
8.8.8.8,amazon.com,9.47
8.8.8.8,wikipedia.org,10.74
1.1.1.1,google.com,10.13
1.1.1.1,facebook.com,10.01
1.1.1.1,youtube.com,10.0
1.1.1.1,amazon.com,10.11
1.1.1.1,wikipedia.org,10.17
9.9.9.9,google.com,9.32
9.9.9.9,facebook.com,307.42
9.9.9.9,youtube.com,9.29
9.9.9.9,amazon.com,9.62
9.9.9.9,wikipedia.org,9.74
208.67.222.222,google.com,30.67
208.67.222.222,facebook.com,9.44
208.67.222.222,youtube.com,9.81
208.67.222.222,amazon.com,9.99
208.67.222.222,wikipedia.org,9.88
192.168.178.1,google.com,1.96
192.168.178.1,facebook.com,1.84
